x,y
0,2.42
0.5,2.32
1,2.34
1.5,2.41
2,2.41
2.5,2.5
3,2.65
3.5,2.73
4,2.98
4.5,3.39
5,5.16
5.5,5.85
6,6.25
6.5,6.39
7,6.59
7.5,6.77
8,6.99
8.5,7.17
9,7.44
9.5,7.7
10,8.43
10.5,10.24
11,10.79
11.5,10.97
12,11.15
12.5,11.25
13,11.38
13.5,11.4
14,11.57
14.5,11.56
15,11.61
15.5,11.6
16,11.66
16.5,11.73
17,11.69
17.5,11.72
18,11.75
18.5,11.81
19,11.79
19.5,11.91
20,11.87
